190645,	190781,	0.9952,	0.9910,	1.0021,	0.9902,	0.9976,	0.9895,	1.0029,	0.9928
190782,	191042,	1.0017,	0.9976,	1.0076,	0.9957,	0.9980,	0.9898,	0.9954,	0.9852
191043,	191720,	0.9960,	0.9919,	1.0023,	0.9904,	0.9997,	0.9916,	0.9984,	0.9884
191721,	193833,	0.9951,	0.9910,	1.0035,	0.9916,	0.9993,	0.9912,	0.9989,	0.9888
193834,	194116,	0.9953,	0.9912,	1.0013,	0.9894,	0.9973,	0.9892,	0.9986,	0.9886
194117,	194427,	0.9960,	0.9919,	1.0029,	0.9910,	1.0003,	0.9922,	1.0012,	0.9911
194428,	194618,	0.9954,	0.9913,	1.0024,	0.9905,	0.9987,	0.9906,	0.9977,	0.9876
194619,	194789,	0.9957,	0.9916,	1.0028,	0.9909,	1.0007,	0.9926,	0.9996,	0.9896
194790,	195111,	0.9969,	0.9928,	1.0054,	0.9935,	1.0045,	0.9964,	1.0013,	0.9913
195112,	195377,	0.9970,	0.9929,	1.0038,	0.9920,	1.0043,	0.9962,	1.0030,	0.9929
195378,	195398,	0.9956,	0.9914,	1.0023,	0.9904,	0.9998,	0.9917,	0.9997,	0.9896
195399,	195657,	0.9967,	0.9925,	1.0045,	0.9927,	1.0021,	0.9940,	1.0019,	0.9919
195658,	195918,	0.9971,	0.9930,	1.0051,	0.9933,	1.0023,	0.9942,	1.0011,	0.9911
195919,	196198,	0.9963,	0.9922,	1.0032,	0.9913,	1.0030,	0.9949,	0.9999,	0.9899
196199,	196356,	0.9972,	0.9931,	1.0051,	0.9933,	1.0015,	0.9934,	1.0018,	0.9917
196357,	198115,	0.9962,	0.9921,	1.0019,	0.9900,	0.9984,	0.9903,	0.9979,	0.9878
198116,	198940,	0.9960,	0.9919,	1.0024,	0.9905,	1.0025,	0.9945,	1.0025,	0.9924
198941,	199317,	0.9963,	0.9921,	1.0031,	0.9913,	0.9990,	0.9908,	1.0006,	0.9905
199318,	199428,	0.9957,	0.9916,	1.0041,	0.9922,	1.0015,	0.9934,	1.0026,	0.9926
199429,	199697,	0.9960,	0.9918,	1.0023,	0.9904,	0.9978,	0.9897,	0.9995,	0.9895
199698,	199832,	0.9964,	0.9923,	1.0035,	0.9916,	0.9997,	0.9916,	1.0009,	0.9909
199833,	199960,	0.9966,	0.9925,	1.0024,	0.9905,	1.0017,	0.9936,	1.0026,	0.9925
199961,	200151,	0.9969,	0.9928,	1.0026,	0.9907,	0.9986,	0.9905,	1.0034,	0.9934
200152,	200490,	0.9965,	0.9924,	1.0029,	0.9911,	1.0009,	0.9928,	1.0012,	0.9911
200491,	200991,	0.9974,	0.9933,	1.0029,	0.9910,	1.0017,	0.9936,	1.0020,	0.9919
200992,	201201,	0.9963,	0.9922,	1.0031,	0.9912,	0.9961,	0.9880,	1.0031,	0.9930
201202,	201624,	0.9970,	0.9929,	1.0048,	0.9929,	1.0001,	0.9919,	1.0057,	0.9957
201625,	201707,	0.9971,	0.9930,	1.0035,	0.9916,	1.0004,	0.9923,	1.0033,	0.9933
201708,	202059,	0.9969,	0.9927,	1.0034,	0.9915,	1.0008,	0.9927,	1.0030,	0.9929
202060,	202204,	0.9971,	0.9929,	1.0024,	0.9905,	0.9995,	0.9914,	1.0038,	0.9938
202205,	202332,	0.9979,	0.9938,	1.0044,	0.9925,	1.0030,	0.9949,	1.0043,	0.9943
202333,	202972,	0.9974,	0.9932,	1.0035,	0.9916,	1.0003,	0.9922,	1.0031,	0.9931
202973,	203002,	0.9964,	0.9923,	0.9999,	0.9879,	0.9999,	0.9918,	1.0027,	0.9926
203853,	204099,	0.9955,	0.9914,	1.0029,	0.9911,	0.9982,	0.9901,	0.9987,	0.9887
204100,	204562,	0.9965,	0.9923,	1.0051,	0.9932,	1.0015,	0.9934,	1.0041,	0.9941
204563,	205085,	0.9959,	0.9918,	1.0048,	0.9929,	1.0023,	0.9942,	0.9990,	0.9889
205086,	205310,	0.9964,	0.9923,	1.0044,	0.9926,	1.0030,	0.9949,	1.0018,	0.9917
205311,	205617,	0.9956,	0.9914,	1.0022,	0.9904,	0.9994,	0.9913,	0.9981,	0.9880
205618,	205825,	0.9963,	0.9921,	1.0025,	0.9906,	1.0019,	0.9938,	0.9997,	0.9897
205826,	206207,	0.9976,	0.9935,	1.0050,	0.9931,	1.0043,	0.9962,	1.0042,	0.9942
206208,	206389,	0.9964,	0.9922,	1.0041,	0.9923,	0.9970,	0.9889,	0.9990,	0.9889
206390,	206483,	0.9963,	0.9922,	1.0033,	0.9915,	1.0033,	0.9952,	1.0033,	0.9933
206484,	206597,	0.9966,	0.9925,	1.0038,	0.9919,	1.0050,	0.9969,	1.0001,	0.9901
206598,	206896,	0.9955,	0.9914,	1.0024,	0.9905,	0.9982,	0.9901,	1.0000,	0.9899
206897,	207220,	0.9972,	0.9930,	1.0031,	0.9913,	0.9999,	0.9918,	1.0045,	0.9945
207221,	207315,	0.9966,	0.9925,	1.0035,	0.9917,	1.0013,	0.9932,	0.9994,	0.9893
207316,	207489,	0.9971,	0.9930,	1.0046,	0.9928,	1.0032,	0.9951,	1.0012,	0.9912
207490,	207919,	0.9966,	0.9925,	1.0044,	0.9925,	1.0013,	0.9932,	0.9988,	0.9887
207920,	208351,	0.9964,	0.9923,	1.0028,	0.9909,	1.0014,	0.9933,	1.0032,	0.9932
208352,	208686,	0.9966,	0.9925,	1.0045,	0.9926,	1.0037,	0.9956,	1.0026,	0.9926

