0, 16, -0.00329, -0.00597, -0.01272, -0.00568, -0.00742, -0.01709
16, 22, -0.00513, -0.00359, -0.00776, -0.00731, -0.00898, -0.01208
22, 28, -0.00513, -0.00392, -0.00503, -0.00587, -0.00647, -0.00955
28, 34, -0.00342, -0.00148, -0.00282, -0.00407, -0.00353, -0.00559
34, 40, -0.00194, 0.00011, -0.00134, -0.00231, -0.00228, -0.00309
40, 46, -0.00092, 0.00017, -0.00022, -0.00129, -0.00118, -0.00147
46, 52, -0.00072, -0.00015, -0.00061, -0.00087, -0.00132, -0.00136
52, 58, -0.00066, 0.00041, -0.00166, -0.00084, -0.00123, -0.00118
58, 64, -0.00119, 0.00107, -0.00126, -0.00099, -0.00077, -0.00094
64, 7000, -0.00073, -0.00188, 0.00106, -0.00045, 0.00032, 0.00078
